Port;Transport;Protocol;
492;TCP, UDP;Transport Independent Convergence for FNA.;
493;TCP, UDP;Transport Independent Convergence for FNA.;
494;TCP, UDP;POV-Ray.;
495;TCP, UDP;intecourier.;
496;TCP, UDP;PIM-RP-DISC.;
497;TCP, UDP;Retrospect backup and restore service.;
498;TCP, UDP;siam.;
499;TCP, UDP;ISO ILL Protocol.;
500;UDP;ISAKMP, IKE, Internet Key Exchange.;
501;TCP, UDP;STMF.;
502;TCP, UDP;asa-appl-proto.;
503;TCP, UDP;Intrinsa.;
504;TCP, UDP;citadel.;
505;TCP, UDP;mailbox-lm.;
506;TCP, UDP;ohimsrv.;
507;TCP, UDP;crs.;
508;TCP, UDP;xvttp.;
509;TCP, UDP;snare.;
510;TCP, UDP;FirstClass Protocol.;
511;TCP, UDP;mynet-as.;
512;TCP, UDP;rexec, remote process execution. Used by mail system to notify users of new mail received.;
513;TCP;Rlogin. Maintains data bases for who's logged on a local net and the average load of the machine.;
514;UDP;Syslog. Cmd like exec but automatic authentication is performed for login server.;
515;TCP;LPR.;
516;TCP, UDP;videotex.;
517;TCP, UDP;Like tenex link but across machine - doesn't use link protocol. A rendezvous port establishes a tcp connection.;
518;TCP, UDP;ntalk.;
519;TCP, UDP;unixtime.;
520;UDP;RIP, Routing Information Protocol.;
521;UDP;RIPng.;
522;TCP, UDP;ULP.;
523;TCP, UDP;IBM-DB2.;
524;TCP, UDP;NCP.;
525;TCP, UDP;timeserver.;
526;TCP, UDP;newdate.;
527;TCP, UDP;Stock IXChange.;
528;TCP, UDP;Customer IXChange.;
529;TCP, UDP;IRC-SERV.;
530;TCP, UDP;rpc.;
531;TCP, UDP;chat.;
532;TCP, UDP;readnews.;
533;TCP, UDP;emergency broadcasts.;
534;TCP, UDP;MegaMedia Admin.;
535;TCP, UDP;iiop.;
536;TCP, UDP;opalis-rdv.;
537;TCP, UDP;Networked Media Streaming Protocol.;
538;TCP, UDP;gdomap.;
539;TCP, UDP;Apertus Technologies Load Determination.;
540;TCP, UDP;uucpd.;
541;TCP, UDP;uucp-rlogin.;
542;TCP, UDP;commerce.;
543;TCP, UDP;klogin.;
544;TCP, UDP;krcmd.;
545;TCP, UDP;appleqtcsrvr.;
546;UDP;DHCPv6 client.;
547;UDP;DHCPv6 server.;
548;TCP, UDP;Apple File Protocol;
549;TCP, UDP;IDFP.;
550;TCP, UDP;new-who.;
551;TCP, UDP;cybercash.;
552;TCP, UDP;deviceshare.;
553;TCP, UDP;pirp.;
554;TCP,  UDP;RTSP, Real Time Streaming Protocol.;
555;TCP, UDP;dsf.;
556;TCP, UDP;rfs server.;
557;TCP, UDP;openvms-sysipc.;
558;TCP, UDP;SDNSKMP.;
